3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
-2.215832e+00, 5.004701e+00, 5.425535e+00, 2.761315e+00, -3.688783e+01
-2.704202e+00, -2.803333e+00, -2.936771e+00, 5.214001e+00, -1.755607e+01
-4.698729e+00, 2.332617e+00, -4.404919e+00, 4.856888e+00, -2.716486e+01
-2.840836e+00, -3.266018e+00, 5.135635e+00, 2.945079e+00, -2.105245e+01
8.068372e-01, -9.837316e-02, -4.955798e+00, 1.860390e+00, -2.286653e+01
5.043103e+00, -2.167436e+00, 1.231261e+00, 4.154527e+00, -1.592041e+01
1.572231e+00, 3.127699e+00, 4.354690e+00, 3.631477e+00, -1.468539e+01
5.346007e+00, 5.319176e+00, -4.192066e+00, -1.229199e+00, -6.781591e+01
-4.932508e+00, 4.023804e+00, 2.653616e-01, 1.193177e+00, -2.211403e+01
-3.307013e+00, -4.350063e+00, 5.908741e+00, -1.675706e-02, -3.329740e+01
2.793426e+00, 5.502545e-01, 2.883009e+00, 3.248565e+00, -3.199101e+00
-4.295182e+00, 2.712526e+00, 9.449105e-01, -5.007138e+00, -3.544070e+01
4.557978e+00, -2.685355e+00, -2.288860e+00, 2.637386e-01, -9.411327e+00
-5.231432e-01, 3.503845e+00, -3.861128e+00, 2.077619e+00, -7.671307e+00
2.886745e+00, -3.913195e+00, 2.661909e+00, -4.494132e+00, -2.454721e+01
2.391925e+00, 3.754903e+00, -1.056837e+00, -1.040340e+00, -1.301854e+01
1.672196e+00, -9.393703e-01, -1.348878e+00, -2.069418e+00, -1.232276e+01
5.686208e+00, 1.120521e+00, -5.342854e+00, -5.492684e+00, -4.836193e+01
-1.145338e+00, -5.671326e+00, -5.973002e+00, -4.391200e+00, -6.320617e+01
-1.434624e-01, -1.610575e+00, -7.041246e-02, 1.587739e+00, -1.442006e+01
3.287904e+00, -5.436137e+00, 2.357280e+00, -2.497918e+00, -3.824705e+01
-3.997738e+00, 1.006130e-03, 1.893250e+00, 5.858362e+00, -5.008210e+01
-5.348119e+00, -1.240425e+00, -2.603674e+00, -3.889339e+00, -2.404201e+01
4.177965e+00, -6.295468e-01, -7.410543e-01, -1.889424e+00, -1.047525e+01
-5.879549e+00, 1.923207e+00, 3.890922e+00, -5.702868e+00, -8.008756e+01
6.904627e-01, 1.209927e+00, -1.853766e+00, -7.217733e-01, -1.241502e+01
-1.815600e+00, -4.992933e+00, 4.865999e-01, -3.136885e+00, -3.125676e+01
-1.308261e+00, 5.908070e+00, 4.752342e+00, 4.740045e+00, -6.970958e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.929998e+00, -4.547457e+00, -3.355715e+00, 4.534504e-01, -2.068174e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
3.139088e-01, 4.555376e+00, 3.365842e+00, -3.444646e+00, -1.577858e+01
